OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID,Year,Month
53,4,2016-08-21,p1072601,1,4600,c328823,2016,8
55,2,2016-08-21,p1012751,1,1380,c271006,2016,8
55,4,2016-08-21,p1072601,1,4600,c271006,2016,8
63,9,2016-08-21,p1072601,2,9200,c044231,2016,8
63,11,2016-08-21,p1005891,1,1950,c044231,2016,8
3,1,2016-08-21,p1012751,1,1380,c155875,2016,8
19,2,2016-08-21,p1072601,1,4600,c132501,2016,8
29,12,2016-08-21,p1175481,1,1300,c376203,2016,8
31,3,2016-08-21,p1012751,1,1380,c032944,2016,8
31,6,2016-08-21,p1005891,1,1950,c032944,2016,8
33,6,2016-08-21,p1175481,1,1300,c091138,2016,8
49,10,2016-08-21,p1005891,1,1950,c345760,2016,8
55,1,2016-08-21,p1072601,1,4600,c293483,2016,8
59,2,2016-08-21,p1175481,2,2600,c090006,2016,8
61,2,2016-08-21,p1175481,1,1300,c090006,2016,8
63,6,2016-08-21,p1175481,1,1300,c215485,2016,8
63,7,2016-08-21,p1005891,1,1950,c215485,2016,8
77,3,2016-08-21,p1175481,1,1300,c127482,2016,8
79,2,2016-08-21,p1005891,2,3900,c039211,2016,8
115,3,2016-08-21,p1012751,1,1380,c047907,2016,8
137,5,2016-08-21,p1072601,1,4600,c353494,2016,8
147,3,2016-08-21,p1005891,2,3900,c103522,2016,8
53,3,2016-08-22,p1012751,1,1380,c155920,2016,8
59,1,2016-08-22,p1005891,1,1950,c093176,2016,8
59,4,2016-08-22,p1175481,1,1300,c093176,2016,8
63,1,2016-08-22,p1175481,1,1300,c091271,2016,8
143,1,2016-08-22,p1012751,1,1380,c056399,2016,8
149,1,2016-08-22,p1175481,1,1300,c051771,2016,8
183,1,2016-08-22,p1005891,1,1950,c057792,2016,8
75,3,2016-08-22,p1005891,2,3900,c314136,2016,8
103,1,2016-08-22,p1072601,1,4600,c335053,2016,8
109,3,2016-08-22,p1175481,2,2600,c200289,2016,8
123,3,2016-08-22,p1005891,1,1950,c256610,2016,8
131,4,2016-08-22,p1072601,2,9200,c150417,2016,8
151,1,2016-08-22,p1012751,1,1380,c085186,2016,8
155,3,2016-08-22,p1097821,1,1000,c116212,2016,8
205,7,2016-08-22,p1072601,1,4600,c017754,2016,8
205,8,2016-08-22,p1012751,1,1380,c017754,2016,8
207,1,2016-08-22,p1072601,1,4600,c038572,2016,8
225,4,2016-08-22,p1072601,1,4600,c343594,2016,8
227,1,2016-08-22,p1012751,1,1380,c343594,2016,8
229,1,2016-08-22,p1072601,1,4600,c060029,2016,8
9,1,2016-08-22,p1072601,1,4600,c324615,2016,8
13,2,2016-08-22,p1072601,1,4600,c283989,2016,8
13,3,2016-08-22,p1012751,1,1380,c283989,2016,8
13,5,2016-08-22,p1175481,1,1300,c283989,2016,8
13,6,2016-08-22,p1005891,1,1950,c283989,2016,8
31,4,2016-08-22,p1175481,1,1300,c231393,2016,8
41,3,2016-08-22,p1005891,1,1950,c150417,2016,8
41,4,2016-08-22,p1175481,1,1300,c150417,2016,8
45,3,2016-08-22,p1072601,2,9200,c296998,2016,8
49,5,2016-08-22,p1072601,1,4600,c057902,2016,8
57,6,2016-08-22,p1175481,3,3900,c206248,2016,8
69,6,2016-08-22,p1012751,1,1380,c314698,2016,8
101,10,2016-08-22,p1012751,2,2760,c366892,2016,8
5,3,2016-08-22,p1175481,1,1300,c268330,2016,8
15,1,2016-08-22,p1175481,1,1300,c173680,2016,8
17,7,2016-08-22,p1012751,1,1380,c312857,2016,8
19,5,2016-08-22,p1175481,1,1300,c194094,2016,8
29,2,2016-08-22,p1005891,2,3900,c352730,2016,8
35,1,2016-08-22,p1175481,1,1300,c227060,2016,8
35,2,2016-08-22,p1005891,1,1950,c227060,2016,8
71,3,2016-08-23,p1005891,1,1950,c385259,2016,8
73,1,2016-08-23,p1175481,1,1300,c255595,2016,8
73,3,2016-08-23,p1005891,1,1950,c255595,2016,8
81,1,2016-08-23,p1072601,1,4600,c314136,2016,8
91,1,2016-08-23,p1072601,2,9200,c160622,2016,8
91,2,2016-08-23,p1097821,1,1000,c160622,2016,8
103,6,2016-08-23,p1005891,1,1950,c041765,2016,8
129,7,2016-08-23,p1005891,1,1950,c272190,2016,8
147,2,2016-08-23,p1097821,1,1000,c162537,2016,8
155,7,2016-08-23,p1005891,1,1950,c130428,2016,8
167,4,2016-08-23,p1175481,1,1300,c313433,2016,8
169,4,2016-08-23,p1175481,1,1300,c130228,2016,8
183,9,2016-08-23,p1175481,1,1300,c114024,2016,8
197,4,2016-08-23,p1005891,1,1950,c321748,2016,8
7,3,2016-08-23,p1175481,1,1300,c275548,2016,8
11,10,2016-08-23,p1005891,1,1950,c291927,2016,8
15,6,2016-08-23,p1012751,1,1380,c084202,2016,8
25,2,2016-08-23,p1175481,2,2600,c104962,2016,8
41,7,2016-08-23,p1012751,1,1380,c107853,2016,8
53,2,2016-08-23,p1175481,1,1300,c310508,2016,8
75,4,2016-08-23,p1072601,1,4600,c115496,2016,8
85,4,2016-08-23,p1175481,1,1300,c353494,2016,8
87,1,2016-08-23,p1072601,1,4600,c088295,2016,8
89,6,2016-08-23,p1012751,1,1380,c297812,2016,8
109,5,2016-08-23,p1012751,1,1380,c307527,2016,8
115,1,2016-08-23,p1175481,1,1300,c138175,2016,8
117,6,2016-08-23,p1072601,1,4600,c082264,2016,8
117,9,2016-08-23,p1005891,1,1950,c082264,2016,8
125,2,2016-08-23,p1072601,1,4600,c129299,2016,8
125,5,2016-08-23,p1097821,1,1000,c129299,2016,8
135,3,2016-08-23,p1005891,1,1950,c236759,2016,8
137,2,2016-08-23,p1005891,1,1950,c063941,2016,8
157,2,2016-08-23,p1012751,1,1380,c356815,2016,8
157,6,2016-08-23,p1005891,2,3900,c356815,2016,8
17,1,2016-08-23,p1012751,-2,-2620,c166550,2016,8
21,2,2016-08-23,p1012751,2,2760,c166039,2016,8
29,1,2016-08-23,p1005891,1,1950,c177887,2016,8
67,1,2016-08-23,p1175481,1,1300,c208697,2016,8
69,2,2016-08-24,p1175481,1,1300,c148505,2016,8
71,7,2016-08-24,p1005891,1,1950,c121344,2016,8
75,6,2016-08-24,p1072601,1,4600,c093697,2016,8
25,12,2016-08-24,p1175481,1,1300,c292114,2016,8
31,5,2016-08-24,p1175481,1,1300,c115512,2016,8
51,1,2016-08-24,p1012751,1,1380,c056249,2016,8
53,2,2016-08-24,p1072601,1,4600,c068727,2016,8
57,3,2016-08-24,p1005891,2,3900,c237261,2016,8
65,1,2016-08-24,p1175481,1,1300,c107882,2016,8
71,3,2016-08-24,p1005891,1,1950,c211881,2016,8
71,10,2016-08-24,p1012751,1,1380,c211881,2016,8
81,1,2016-08-24,p1175481,1,1300,c319545,2016,8
101,2,2016-08-24,p1175481,1,1300,c157116,2016,8
105,1,2016-08-24,p1005891,1,1950,c280375,2016,8
109,4,2016-08-24,p1175481,1,1300,c317547,2016,8
119,4,2016-08-24,p1012751,1,1380,c272292,2016,8
139,2,2016-08-24,p1005891,1,1950,c094185,2016,8
173,1,2016-08-24,p1072601,1,4600,c121989,2016,8
177,2,2016-08-24,p1005891,1,1950,c347234,2016,8
185,1,2016-08-24,p1012751,1,1380,c054365,2016,8
185,3,2016-08-24,p1005891,1,1950,c054365,2016,8
187,10,2016-08-24,p1072601,1,4600,c179965,2016,8
215,2,2016-08-24,p1005891,1,1950,c341307,2016,8
21,1,2016-08-24,p1005891,3,5850,c307471,2016,8
21,4,2016-08-24,p1175481,1,1300,c307471,2016,8
23,1,2016-08-24,p1005891,1,1950,c335380,2016,8
25,6,2016-08-24,p1012751,1,1380,c369132,2016,8
45,1,2016-08-24,p1012751,1,1380,c038319,2016,8
65,4,2016-08-24,p1012751,1,1380,c386860,2016,8
67,4,2016-08-24,p1012751,1,1242,c386860,2016,8
101,9,2016-08-24,p1005891,1,1950,c093272,2016,8
125,1,2016-08-24,p1012751,1,1380,c222157,2016,8
141,2,2016-08-24,p1005891,1,1950,c112355,2016,8
143,3,2016-08-24,p1005891,1,1950,c221557,2016,8
153,2,2016-08-24,p1005891,1,1950,c222561,2016,8
159,9,2016-08-24,p1012751,1,1380,c364899,2016,8
163,1,2016-08-24,p1072601,1,4600,c044804,2016,8
173,10,2016-08-24,p1097821,1,1000,c343622,2016,8
